"","pmid","year","labels","phrase","highest_pvalue","group"
"3882",9313279,1997,1996,"""failed to reach statistical significance""",0.072,">=0.05-0.15"
"3883",9313279,1997,1996,"""failed to reach statistical significance""",0.054,">=0.05-0.15"
"3884",9334893,1997,1996,"""failed to reach statistical significance""",0.14,">=0.15"
"3885",9346796,1997,1996,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"3887",9365623,1997,1996,"""failed to reach statistical significance""",0.062,">=0.05-0.15"
"3888",9373883,1997,1996,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3890",9403145,1997,1996,"""failed to reach statistical significance""",0.082,">=0.05-0.15"
"3892",9459075,1998,1996,"""failed to reach statistical significance""",0.1,">=0.15"
"3893",9459075,1998,1996,"""failed to reach statistical significance""",0.12,">=0.15"
"3894",9459625,1997,1996,"""failed to reach statistical significance""",0.5484,">=0.15"
"3895",9466973,1998,1996,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3897",9476875,1998,1996,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3899",9500570,1998,1996,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3900",9503255,1997,1996,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"3901",9505799,1998,1996,"""failed to reach statistical significance""",0.067,">=0.05-0.15"
"3902",9513028,1997,1996,"""failed to reach statistical significance""",0.153,">=0.15"
"3904",9536857,1998,1996,"""failed to reach statistical significance""",0.098,">=0.05-0.15"
"3905",9536857,1998,1996,"""failed to reach statistical significance""",0.069,">=0.05-0.15"
"3907",9549526,1998,1996,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3908",9551418,1998,1996,"""failed to reach statistical significance""",0.131,">=0.15"
"3909",9551842,1998,1996,"""failed to reach statistical significance""",0.169,">=0.15"
"3910",9578099,1998,1996,"""failed to reach statistical significance""",0.1,">=0.15"
"3911",9578508,1998,1996,"""failed to reach statistical significance""",0.1,">=0.15"
"3912",9589654,1998,1996,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"3913",9610942,1998,1996,"""failed to reach statistical significance""",0.11,">=0.15"
"3914",9649976,1998,1996,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"3915",9672330,1998,1996,"""failed to reach statistical significance""",0.2,">=0.15"
"3916",9680503,1998,1996,"""failed to reach statistical significance""",0.053,">=0.05-0.15"
"3918",9683797,1998,1996,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"3919",9690572,1998,1996,"""failed to reach statistical significance""",0.145,">=0.15"
"3920",9704873,1998,1996,"""failed to reach statistical significance""",0.1,">=0.15"
"3921",9725752,1998,1996,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3922",9730996,1998,1996,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3923",9731614,1998,1996,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"3924",9755359,1998,1996,"""failed to reach statistical significance""",0.15,">=0.15"
"3925",9768566,1998,1996,"""failed to reach statistical significance""",0.087,">=0.05-0.15"
"3927",9775244,1998,1996,"""failed to reach statistical significance""",0.053,">=0.05-0.15"
"3928",9776154,1998,1996,"""failed to reach statistical significance""",0.31,">=0.15"
"3929",9778135,1998,1996,"""failed to reach statistical significance""",0.077,">=0.05-0.15"
"3930",9787298,1998,1996,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"3931",9801845,1998,1996,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3932",9815866,1998,1996,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3934",9854467,1998,1996,"""failed to reach statistical significance""",0.074,">=0.05-0.15"
"3935",9858113,1998,1996,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"3936",9874905,1998,1996,"""failed to reach statistical significance""",0.17,">=0.15"
"3937",9876334,1998,1996,"""failed to reach statistical significance""",0.057,">=0.05-0.15"
"3938",9885797,1999,1999,"""failed to reach statistical significance""",0.0517,">=0.05-0.15"
"3939",9885797,1999,1999,"""failed to reach statistical significance""",0.0747,">=0.05-0.15"
"3940",9886743,1998,1996,"""failed to reach statistical significance""",0.1,">=0.15"
"3941",9892294,1999,1999,"""failed to reach statistical significance""",0.92,">=0.15"
"3942",9892294,1999,1999,"""failed to reach statistical significance""",0.03,"<0.05"
"3945",9930157,1999,1999,"""failed to reach statistical significance""",0.1,">=0.15"
"3946",10027514,1999,1999,"""failed to reach statistical significance""",0.106,">=0.15"
"3947",10080858,1998,1996,"""failed to reach statistical significance""",0.054,">=0.05-0.15"
"3948",10090427,1999,1999,"""failed to reach statistical significance""",0.01,"<0.05"
"3949",10094119,1999,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3950",10189531,1999,1999,"""failed to reach statistical significance""",0.12,">=0.15"
"3951",10190732,1999,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3952",10190732,1999,1999,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"3954",10204835,1999,1999,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"3956",10335002,1999,1999,"""failed to reach statistical significance""",0.058,">=0.05-0.15"
"3958",10362732,1999,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"3959",10373865,1999,1999,"""failed to reach statistical significance""",0.721,">=0.15"
"3962",10432468,1999,1999,"""failed to reach statistical significance""",0.053,">=0.05-0.15"
"3963",10475316,1999,1999,"""failed to reach statistical significance""",0.23,">=0.15"
"3964",10512903,1999,1999,"""failed to reach statistical significance""",0.3,">=0.15"
"3965",10513498,1999,1999,"""failed to reach statistical significance""",0.028,"<0.05"
"3966",10516500,1999,1999,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"3967",10520386,1999,1999,"""failed to reach statistical significance""",0.057,">=0.05-0.15"
"3968",10547391,1999,1999,"""failed to reach statistical significance""",0.2,">=0.15"
"3969",10553738,1999,1999,"""failed to reach statistical significance""",0.13,">=0.15"
"3970",10553738,1999,1999,"""failed to reach statistical significance""",0.51,">=0.15"
"3971",10553738,1999,1999,"""failed to reach statistical significance""",0.57,">=0.15"
"3974",10568080,1999,1999,"""failed to reach statistical significance""",0.053,">=0.05-0.15"
"3975",10587552,1999,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3977",10601444,1999,1999,"""failed to reach statistical significance""",0.066,">=0.05-0.15"
"3978",10606310,1999,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3982",10632915,2000,1999,"""failed to reach statistical significance""",0.088,">=0.05-0.15"
"3983",10661342,2000,1999,"""failed to reach statistical significance""",0.24,">=0.15"
"3984",10664112,2000,1999,"""failed to reach statistical significance""",0.25,">=0.15"
"3985",10669844,2000,1999,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"3986",10673189,2000,1999,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"3987",10690163,1999,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"3988",10694138,2000,1999,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"3989",10694138,2000,1999,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"3990",10716539,2000,1999,"""failed to reach statistical significance""",0.12,">=0.15"
"3991",10716539,2000,1999,"""failed to reach statistical significance""",0.12,">=0.15"
"3992",10716539,2000,1999,"""failed to reach statistical significance""",0.11,">=0.15"
"3993",10723871,1999,1999,"""failed to reach statistical significance""",0.064,">=0.05-0.15"
"3994",10729293,2000,1999,"""failed to reach statistical significance""",0.59,">=0.15"
"3995",10736083,2000,1999,"""failed to reach statistical significance""",0.062,">=0.05-0.15"
"3996",10759911,2000,1999,"""failed to reach statistical significance""",0.064,">=0.05-0.15"
"3997",10763948,2000,1999,"""failed to reach statistical significance""",0.006,"<0.05"
"3998",10764301,2000,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4001",10776007,2000,1999,"""failed to reach statistical significance""",0.03,"<0.05"
"4004",10843174,2000,1999,"""failed to reach statistical significance""",0.5,">=0.15"
"4006",10855459,2000,1999,"""failed to reach statistical significance""",0.143,">=0.15"
"4007",10857518,2000,1999,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4008",10857518,2000,1999,"""failed to reach statistical significance""",0.16,">=0.15"
"4011",10869048,2000,1999,"""failed to reach statistical significance""",0.1,">=0.15"
"4012",10904025,2000,1999,"""failed to reach statistical significance""",0.084,">=0.05-0.15"
"4013",10910476,2000,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4014",10912897,2000,1999,"""failed to reach statistical significance""",0.19,">=0.15"
"4016",10924944,2000,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4018",10928746,2000,1999,"""failed to reach statistical significance""",0.13,">=0.15"
"4019",10928746,2000,1999,"""failed to reach statistical significance""",0.12,">=0.15"
"4020",10932472,2000,1999,"""failed to reach statistical significance""",0.12,">=0.15"
"4021",10937295,2000,1999,"""failed to reach statistical significance""",0.087,">=0.05-0.15"
"4023",10955373,2000,1999,"""failed to reach statistical significance""",1e-04,"<0.05"
"4025",10975513,2000,1999,"""failed to reach statistical significance""",0.14,">=0.15"
"4026",10975513,2000,1999,"""failed to reach statistical significance""",0.14,">=0.15"
"4028",10999787,2000,1999,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4030",11015097,2000,1999,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"4031",11022383,2000,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4032",11029015,2000,1999,"""failed to reach statistical significance""",0.042,"<0.05"
"4033",11029015,2000,1999,"""failed to reach statistical significance""",0.11,">=0.15"
"4035",11054627,2000,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4036",11063837,2000,1999,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"4037",11069206,2000,1999,"""failed to reach statistical significance""",0.097,">=0.05-0.15"
"4038",11079287,2000,1999,"""failed to reach statistical significance""",0.069,">=0.05-0.15"
"4040",11095450,2000,1999,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4041",11109234,2000,1999,"""failed to reach statistical significance""",0.4,">=0.15"
"4042",11117088,2000,1999,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4043",11123197,2001,1999,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4044",11157685,2001,1999,"""failed to reach statistical significance""",0.063,">=0.05-0.15"
"4046",11171785,2001,1999,"""failed to reach statistical significance""",0.79,">=0.15"
"4047",11193270,2000,1999,"""failed to reach statistical significance""",0.062,">=0.05-0.15"
"4049",11207490,2001,1999,"""failed to reach statistical significance""",0.067,">=0.05-0.15"
"4050",11216493,2000,1999,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4051",11247933,2001,1999,"""failed to reach statistical significance""",0.15,">=0.15"
"4052",11273988,2001,1999,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4053",11273991,2001,1999,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"4054",11305854,2001,1999,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4057",11375808,2001,1999,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4058",11393462,2001,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4059",11393462,2001,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4060",11393462,2001,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4061",11393462,2001,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4062",11394918,2001,1999,"""failed to reach statistical significance""",0.17,">=0.15"
"4063",11400999,2001,1999,"""failed to reach statistical significance""",0.26,">=0.15"
"4065",11435244,2001,1999,"""failed to reach statistical significance""",0.0552,">=0.05-0.15"
"4067",11443170,2001,1999,"""failed to reach statistical significance""",0.0655,">=0.05-0.15"
"4068",11446129,2001,1999,"""failed to reach statistical significance""",0.24,">=0.15"
"4070",11465636,2001,1999,"""failed to reach statistical significance""",0.064,">=0.05-0.15"
"4073",11497198,2001,1999,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4075",11546969,2001,1999,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4078",11575540,2001,1999,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4079",11641365,2001,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4080",11676980,2001,1999,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4084",11701433,2001,1999,"""failed to reach statistical significance""",0.058,">=0.05-0.15"
"4087",11788564,2002,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4089",11825813,2002,2002,"""failed to reach statistical significance""",0.57,">=0.15"
"4090",11828038,2002,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4092",11877693,2002,2002,"""failed to reach statistical significance""",0.1,">=0.15"
"4096",11919117,2002,2002,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4100",12020958,2002,2002,"""failed to reach statistical significance""",0.21,">=0.15"
"4101",12020958,2002,2002,"""failed to reach statistical significance""",0.15,">=0.15"
"4102",12027069,2002,2002,"""failed to reach statistical significance""",0.96,">=0.15"
"4104",12067231,2002,2002,"""failed to reach statistical significance""",0.25,">=0.15"
"4105",12070189,2002,2002,"""failed to reach statistical significance""",0.1,">=0.15"
"4106",12075218,2002,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4108",12093340,2002,2002,"""failed to reach statistical significance""",0.12,">=0.15"
"4109",12093340,2002,2002,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"4111",12185559,2002,2002,"""failed to reach statistical significance""",0.653,">=0.15"
"4112",12191837,2002,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4113",12191837,2002,2002,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4114",12196048,2002,2002,"""failed to reach statistical significance""",0.11,">=0.15"
"4116",12357163,2002,2002,"""failed to reach statistical significance""",0.054,">=0.05-0.15"
"4117",12358250,2002,2002,"""failed to reach statistical significance""",0.37,">=0.15"
"4118",12385861,2002,2002,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4120",12397571,2002,2002,"""failed to reach statistical significance""",0.18,">=0.15"
"4121",12405375,2002,2002,"""failed to reach statistical significance""",0.23,">=0.15"
"4122",12456843,2002,2002,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4123",12456843,2002,2002,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4124",12473805,2002,2002,"""failed to reach statistical significance""",0.051,">=0.05-0.15"
"4125",12477503,2002,2002,"""failed to reach statistical significance""",0.0518,">=0.05-0.15"
"4126",12477503,2002,2002,"""failed to reach statistical significance""",0.0518,">=0.05-0.15"
"4128",12496528,2003,2002,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4129",12497585,2003,2002,"""failed to reach statistical significance""",0.059,">=0.05-0.15"
"4130",12520257,2003,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4131",12520257,2003,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4132",12535820,2003,2002,"""failed to reach statistical significance""",0.13,">=0.15"
"4134",12571149,2003,2002,"""failed to reach statistical significance""",0.079,">=0.05-0.15"
"4135",12573295,2003,2002,"""failed to reach statistical significance""",0.15,">=0.15"
"4136",12573295,2003,2002,"""failed to reach statistical significance""",0.185,">=0.15"
"4137",12578431,2003,2002,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4138",12597703,2003,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4139",12600856,2003,2002,"""failed to reach statistical significance""",0.1,">=0.15"
"4142",12631097,2003,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4144",12643886,2003,2002,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4146",12709522,2003,2002,"""failed to reach statistical significance""",0.51,">=0.15"
"4147",12712245,2003,2002,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"4149",12746365,2003,2002,"""failed to reach statistical significance""",0.11,">=0.15"
"4153",12759886,2003,2002,"""failed to reach statistical significance""",0.088,">=0.05-0.15"
"4157",12882995,2003,2002,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4159",12944338,2003,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4160",12956861,2003,2002,"""failed to reach statistical significance""",0.36,">=0.15"
"4161",12959287,1993,1993,"""failed to reach statistical significance""",0.054,">=0.05-0.15"
"4162",12959287,1993,1993,"""failed to reach statistical significance""",0.058,">=0.05-0.15"
"4163",14499289,2003,2002,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4164",14554218,2003,2002,"""failed to reach statistical significance""",0.066,">=0.05-0.15"
"4165",14568495,2003,2002,"""failed to reach statistical significance""",0.052,">=0.05-0.15"
"4166",14584858,2003,2002,"""failed to reach statistical significance""",0.1,">=0.15"
"4167",14585009,2003,2002,"""failed to reach statistical significance""",0.15,">=0.15"
"4168",14594148,2003,2002,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"4169",14594148,2003,2002,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"4170",14594148,2003,2002,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"4171",14599264,2003,2002,"""failed to reach statistical significance""",0.16,">=0.15"
"4174",14665488,2003,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4177",14693576,2004,2002,"""failed to reach statistical significance""",0.17,">=0.15"
"4178",14696021,2003,2002,"""failed to reach statistical significance""",0.075,">=0.05-0.15"
"4179",14700554,2004,2002,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4180",14706327,2004,2002,"""failed to reach statistical significance""",0.069,">=0.05-0.15"
"4181",14724051,2004,2002,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4182",14724051,2004,2002,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4183",14744472,2004,2002,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4184",14749894,2004,2002,"""failed to reach statistical significance""",0.1,">=0.15"
"4185",14764775,2004,2002,"""failed to reach statistical significance""",0.13,">=0.15"
"4186",14764790,2004,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4188",14993114,2004,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4189",15001452,2004,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4190",15001600,2004,2002,"""failed to reach statistical significance""",0.36,">=0.15"
"4192",15001600,2004,2002,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"4193",15001600,2004,2002,"""failed to reach statistical significance""",0.11,">=0.15"
"4194",15016017,2004,2002,"""failed to reach statistical significance""",0.052,">=0.05-0.15"
"4195",15016040,2004,2002,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4196",15022975,2003,2002,"""failed to reach statistical significance""",0.11,">=0.15"
"4198",15047649,2004,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4199",15080859,2004,2002,"""failed to reach statistical significance""",0.093,">=0.05-0.15"
"4201",15126520,2004,2002,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4203",15127079,2004,2002,"""failed to reach statistical significance""",0.579,">=0.15"
"4205",15128360,2004,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4207",15138210,2004,2002,"""failed to reach statistical significance""",0.059,">=0.05-0.15"
"4208",15171574,2004,2002,"""failed to reach statistical significance""",0.23,">=0.15"
"4210",15181652,2004,2002,"""failed to reach statistical significance""",0.652,">=0.15"
"4211",15201716,2004,2002,"""failed to reach statistical significance""",0.086,">=0.05-0.15"
"4212",15204011,2004,2002,"""failed to reach statistical significance""",0.1,">=0.15"
"4213",15289699,2004,2002,"""failed to reach statistical significance""",0.0566,">=0.05-0.15"
"4214",15298339,2004,2002,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4219",15381507,2004,2002,"""failed to reach statistical significance""",0.2,">=0.15"
"4220",15381507,2004,2002,"""failed to reach statistical significance""",0.27,">=0.15"
"4222",15498085,2004,2002,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"4223",15522770,2004,2002,"""failed to reach statistical significance""",0.46,">=0.15"
"4224",15536461,2004,2002,"""failed to reach statistical significance""",0.086,">=0.05-0.15"
"4226",15567532,2005,2005,"""failed to reach statistical significance""",0.19,">=0.15"
"4227",15571523,2004,2002,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4228",15575933,2005,2005,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4229",15582080,2004,2002,"""failed to reach statistical significance""",0.068,">=0.05-0.15"
"4230",15590043,2004,2002,"""failed to reach statistical significance""",0.03,"<0.05"
"4232",15618785,2005,2005,"""failed to reach statistical significance""",0.012,"<0.05"
"4233",15644669,2005,2005,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4234",15644669,2005,2005,"""failed to reach statistical significance""",0.8,">=0.15"
"4235",15663559,2004,2002,"""failed to reach statistical significance""",0.086,">=0.05-0.15"
"4236",15678619,2004,2002,"""failed to reach statistical significance""",0.058,">=0.05-0.15"
"4237",15686610,2005,2005,"""failed to reach statistical significance""",0.43,">=0.15"
"4238",15699266,2005,2005,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4239",15707388,2005,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4240",15713151,2005,2005,"""failed to reach statistical significance""",0.165,">=0.15"
"4241",15727949,2005,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4242",15741266,2005,2005,"""failed to reach statistical significance""",0.52,">=0.15"
"4243",15752371,2005,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4244",15763437,2005,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4246",15781177,2005,2005,"""failed to reach statistical significance""",0.061,">=0.05-0.15"
"4249",15831796,2005,2005,"""failed to reach statistical significance""",0.14,">=0.15"
"4251",15877291,2005,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4252",15877291,2005,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4253",15878101,2005,2005,"""failed to reach statistical significance""",0.056,">=0.05-0.15"
"4254",15897362,2005,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4256",15906066,2005,2005,"""failed to reach statistical significance""",0.061,">=0.05-0.15"
"4257",15910128,2005,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4258",15910869,2005,2005,"""failed to reach statistical significance""",0.075,">=0.05-0.15"
"4262",15935432,2005,2005,"""failed to reach statistical significance""",0.059,">=0.05-0.15"
"4263",15937693,2006,2005,"""failed to reach statistical significance""",0.3,">=0.15"
"4266",15967527,2006,2005,"""failed to reach statistical significance""",0.203,">=0.15"
"4267",15979400,2005,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4268",15982605,2005,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4269",16005273,2005,2005,"""failed to reach statistical significance""",0.39,">=0.15"
"4272",16028030,2005,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4273",16030097,2005,2005,"""failed to reach statistical significance""",0.16,">=0.15"
"4275",16041512,2005,2005,"""failed to reach statistical significance""",0.074,">=0.05-0.15"
"4276",16042036,2005,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4278",16078092,2005,2005,"""failed to reach statistical significance""",0.105,">=0.15"
"4279",16085366,2006,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4280",16087072,2005,2005,"""failed to reach statistical significance""",0.11,">=0.15"
"4281",16091968,2005,2005,"""failed to reach statistical significance""",0.14,">=0.15"
"4282",16103236,2005,2005,"""failed to reach statistical significance""",1e-04,"<0.05"
"4283",16140027,2006,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4284",16145740,2005,2005,"""failed to reach statistical significance""",0.088,">=0.05-0.15"
"4285",16155034,2005,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4287",16159631,2005,2005,"""failed to reach statistical significance""",0.051,">=0.05-0.15"
"4288",16185211,2005,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4292",16197283,2005,2005,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4294",16208640,2005,2005,"""failed to reach statistical significance""",0.13,">=0.15"
"4295",16213663,2006,2005,"""failed to reach statistical significance""",0.3,">=0.15"
"4296",16213933,2005,2005,"""failed to reach statistical significance""",0.068,">=0.05-0.15"
"4297",16213933,2005,2005,"""failed to reach statistical significance""",0.0796,">=0.05-0.15"
"4298",16220278,2006,2005,"""failed to reach statistical significance""",0.12,">=0.15"
"4300",16221748,2006,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4301",16246996,2005,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4303",16282436,2006,2005,"""failed to reach statistical significance""",0.061,">=0.05-0.15"
"4305",16311196,2006,2005,"""failed to reach statistical significance""",0.054,">=0.05-0.15"
"4307",16325039,2005,2005,"""failed to reach statistical significance""",0.24,">=0.15"
"4309",16434427,2006,2005,"""failed to reach statistical significance""",0.051,">=0.05-0.15"
"4310",16442593,2006,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4311",16467702,2006,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4312",16470820,2006,2005,"""failed to reach statistical significance""",0.63,">=0.15"
"4313",16483553,2006,2005,"""failed to reach statistical significance""",0.058,">=0.05-0.15"
"4314",16484109,2006,2005,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4315",16488405,2007,2005,"""failed to reach statistical significance""",0.097,">=0.05-0.15"
"4317",16505510,2006,2005,"""failed to reach statistical significance""",0.28,">=0.15"
"4318",16505650,2006,2005,"""failed to reach statistical significance""",0.2,">=0.15"
"4319",16505650,2006,2005,"""failed to reach statistical significance""",0.06,">=0.05-0.15"
"4320",16505651,2006,2005,"""failed to reach statistical significance""",0.055,">=0.05-0.15"
"4321",16512103,2005,2005,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4323",16552194,2006,2005,"""failed to reach statistical significance""",0.178,">=0.15"
"4324",16552194,2006,2005,"""failed to reach statistical significance""",0.131,">=0.15"
"4327",16679981,2006,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4329",16717291,2006,2005,"""failed to reach statistical significance""",0.065,">=0.05-0.15"
"4332",16757551,2006,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4334",16779923,2006,2005,"""failed to reach statistical significance""",0.08,">=0.05-0.15"
"4335",16802265,2006,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4336",16802265,2006,2005,"""failed to reach statistical significance""",0.054,">=0.05-0.15"
"4337",16842799,2007,2005,"""failed to reach statistical significance""",0.064,">=0.05-0.15"
"4341",16881271,2006,2005,"""failed to reach statistical significance""",0.12,">=0.15"
"4342",16881807,2006,2005,"""failed to reach statistical significance""",0.076,">=0.05-0.15"
"4343",16881811,2006,2005,"""failed to reach statistical significance""",0.07,">=0.05-0.15"
"4344",16896509,2006,2005,"""failed to reach statistical significance""",0.21,">=0.15"
"4345",16899377,2007,2005,"""failed to reach statistical significance""",0.207,">=0.15"
"4346",16919533,2006,2005,"""failed to reach statistical significance""",0.092,">=0.05-0.15"
"4347",16919533,2006,2005,"""failed to reach statistical significance""",0.09,">=0.05-0.15"
"4348",16944396,2006,2005,"""failed to reach statistical significance""",0.1,">=0.15"
"4351",17026815,2006,2005,"""failed to reach statistical significance""",0.14,">=0.15"
"4352",17046324,2006,2005,"""failed to reach statistical significance""",0.1,">=0.15"
"4353",17062804,2006,2005,"""failed to reach statistical significance""",0.02,"<0.05"
"4354",17083588,2006,2005,"""failed to reach statistical significance""",0.05,">=0.05-0.15"
"4357",17133492,2006,2005,"""failed to reach statistical significance""",0.24,">=0.15"
